Time,Type,Page,IP,Country,Dwell,Analytics Fired
16:01:34,ORGANIC,home,116.80.96.106,JP,211.7s,12
16:01:37,DIRECT,home,213.220.62.62,NL,3.5s,12
16:06:44,ORGANIC,home,150.107.140.227,ID,288.3s,12
16:06:59,ORGANIC,home,181.78.79.155,CO,240.3s,12
16:09:02,ORGANIC,home,158.69.185.37,CA,169.4s,1
16:15:49,DIRECT,home,171.100.254.137,TH,3.0s,0
16:17:51,ORGANIC,home,150.107.140.227,ID,284.3s,12
16:20:37,DIRECT,home,45.136.130.188,US,2.4s,12
16:20:59,ORGANIC,home,205.209.118.30,US,227.5s,1
16:23:29,ORGANIC,home,138.124.53.25,DE,169.0s,1
16:25:47,DIRECT,home,138.124.53.25,DE,18.3s,1
16:28:59,ORGANIC,home,16.78.115.88,ID,191.0s,1
16:37:59,ORGANIC,home,181.78.79.155,CO,217.3s,12
16:38:28,ORGANIC,home,102.211.145.119,KE,264.4s,8
16:41:55,ORGANIC,home,116.80.60.44,JP,146.3s,8
16:47:05,ORGANIC,home,185.115.75.43,CZ,203.8s,12
16:48:50,DIRECT,home,185.115.75.43,CZ,1.5s,12
16:49:55,ORGANIC,home,45.167.124.52,CO,195.3s,12
16:55:19,ORGANIC,home,186.96.111.214,CO,198.9s,10
16:56:23,ORGANIC,home,41.223.119.156,ZM,164.7s,12
16:59:06,DIRECT,home,186.96.111.214,CO,1.6s,12
17:02:22,DIRECT,home,45.136.130.188,US,37.1s,12
17:03:55,ORGANIC,home,103.3.246.71,VN,121.3s,10
17:05:28,ORGANIC,home,147.45.251.172,RU,140.7s,12
17:05:49,ORGANIC,home,210.223.44.230,KR,127.9s,10
17:05:55,ORGANIC,home,205.209.118.30,US,211.6s,1
17:07:18,ORGANIC,home,186.96.111.214,CO,237.3s,12
17:07:57,ORGANIC,home,103.152.238.179,ID,275.6s,7
17:08:36,DIRECT,home,147.45.251.172,RU,2.6s,12
17:09:56,DIRECT,home,186.96.111.214,CO,1.5s,12
17:16:25,ORGANIC,home,27.133.238.94,JP,265.0s,8
17:16:44,ORGANIC,home,116.80.49.159,JP,244.6s,8
17:17:18,ORGANIC,home,5.129.206.40,RU,280.5s,12
17:17:58,ORGANIC,home,217.26.67.57,RS,183.3s,8
17:19:17,ORGANIC,home,116.80.96.102,JP,198.0s,12
17:23:29,DIRECT,home,45.136.131.58,US,55.0s,8
17:29:06,ORGANIC,home,116.80.64.44,JP,127.2s,12
17:30:29,ORGANIC,home,193.43.145.250,SY,145.3s,12
17:30:46,DIRECT,home,116.80.64.44,JP,0.7s,12
17:31:31,ORGANIC,home,201.157.235.197,BR,187.7s,8
17:37:35,ORGANIC,home,181.78.79.155,CO,284.2s,10
17:38:05,ORGANIC,home,200.174.198.175,BR,295.1s,9
17:40:34,ORGANIC,home,102.223.154.177,SL,192.5s,10
17:40:36,DIRECT,home,45.225.227.76,CO,5.2s,8
17:42:23,DIRECT,home,200.24.159.230,EC,15.4s,10
17:42:39,DIRECT,home,102.223.154.177,SL,1.5s,10
17:44:32,ORGANIC,home,210.223.44.230,KR,248.9s,12
17:46:27,ORGANIC,home,38.194.246.34,MX,273.8s,12
17:49:43,DIRECT,home,103.216.104.6,ID,29.8s,9
17:52:01,ORGANIC,home,147.45.251.242,RU,187.5s,12
17:55:55,ORGANIC,home,103.147.134.179,ID,273.6s,12
17:57:51,DIRECT,home,103.147.134.179,ID,1.1s,10
18:04:11,ORGANIC,home,103.78.83.18,ID,138.8s,12
18:06:19,ORGANIC,home,164.90.206.15,NL,264.1s,1
18:07:34,ORGANIC,home,103.163.80.101,ID,147.5s,8
18:09:33,DIRECT,home,164.90.206.15,NL,0.4s,1
18:10:07,ORGANIC,home,103.50.25.7,ID,265.6s,8
18:11:46,ORGANIC,home,103.78.83.18,ID,189.6s,8
18:14:07,ORGANIC,home,116.80.60.44,JP,186.0s,12
18:17:10,ORGANIC,home,124.158.12.3,VN,177.3s,9
18:18:19,ORGANIC,home,45.186.6.104,EC,193.2s,12
18:21:04,ORGANIC,home,190.12.150.244,EC,237.2s,10
18:25:14,ORGANIC,home,116.80.49.165,JP,240.5s,12
18:30:56,DIRECT,home,178.236.245.59,RU,26.7s,7
18:31:23,DIRECT,home,144.31.0.166,PL,12.8s,8
18:32:17,ORGANIC,home,45.167.124.52,CO,198.5s,12
18:34:49,ORGANIC,home,103.175.238.106,ID,193.7s,10
18:35:34,ORGANIC,home,116.80.49.170,JP,185.8s,12
18:39:33,ORGANIC,home,151.115.60.148,PL,177.1s,1
18:42:01,ORGANIC,home,220.130.58.19,TW,198.6s,11
18:44:51,ORGANIC,home,118.69.176.114,VN,240.0s,10
18:45:55,ORGANIC,home,177.200.239.141,DO,321.3s,12
18:49:43,DIRECT,home,177.200.239.141,DO,1.5s,8
18:50:00,ORGANIC,home,194.87.43.49,RU,230.5s,12
18:53:16,DIRECT,home,152.53.194.38,US,11.9s,3
18:53:58,ORGANIC,home,210.223.44.230,KR,122.4s,12
18:54:36,ORGANIC,home,200.41.170.211,AR,252.8s,10
18:55:14,ORGANIC,home,102.66.104.162,ZA,239.7s,6
18:57:10,ORGANIC,home,220.130.58.19,TW,209.1s,12
18:58:55,DIRECT,home,102.66.104.162,ZA,2.0s,8
18:59:49,ORGANIC,home,185.191.236.162,CH,218.6s,12
19:01:35,DIRECT,home,185.191.236.162,CH,4.1s,12
19:04:59,ORGANIC,home,116.80.49.156,JP,218.2s,12
19:08:08,ORGANIC,home,185.115.75.43,CZ,257.3s,12
19:10:10,ORGANIC,home,116.80.49.161,JP,138.4s,10
19:10:31,DIRECT,home,185.115.75.43,CZ,3.7s,12
19:20:54,ORGANIC,home,38.158.82.98,PE,344.7s,8
19:23:36,ORGANIC,home,41.223.119.156,ZM,276.7s,12
19:25:39,DIRECT,home,60.28.217.71,CN,7.8s,8
19:27:51,ORGANIC,home,202.180.21.213,ID,236.7s,8
19:30:22,ORGANIC,home,116.99.49.187,VN,283.9s,12
